src,dst,etype,quote
ART:a3510,SRC:EveningStar,DERIVED_FROM,
Person:Mathias Erzberger,MENTION:a3510:Mathias Erzberger,SUPPORTED_BY,
Person:Mathias Erzberger,ART:a3510,ABOUT,MATHtAS ERZBERGER Minister of Finance Retires Dis credited
MENTION:a3510:Mathias Erzberger,ART:a3510,DERIVED_FROM,
Person:Moesle,MENTION:a3510:Moesle,SUPPORTED_BY,
Person:Moesle,ART:a3510,ABOUT,Moesle has be^n se-' lented to succeed Mathias Err-b.-rtfr
MENTION:a3510:Moesle,ART:a3510,DERIVED_FROM,
EVENT:a3510:0,ART:a3510,ABOUT,who resigned yesterday as minister' of finance
EVENT:a3510:0,MENTION:a3510:event0,SUPPORTED_BY,
MENTION:a3510:event0,ART:a3510,DERIVED_FROM,
CA:a3510:0,Concept:자금 밀반출(money smuggling) 의혹,CAUSE,
CA:a3510:0,Concept:재무장관 사임/경질,EFFECT,
CA:a3510:0,MENTION:a3510:ca0,EVIDENCE,
MENTION:a3510:ca0,ART:a3510,DERIVED_FROM,
ART:a3354,SRC:EveningStar,DERIVED_FROM,
Place:New Jersey,MENTION:a3354:New Jersey,SUPPORTED_BY,
Place:New Jersey,ART:a3354,ABOUT,liquor agitation is figuring in New Jersey
MENTION:a3354:New Jersey,ART:a3354,DERIVED_FROM,
CA:a3354:0,Concept:주류(금주법) 논쟁 격화,CAUSE,
CA:a3354:0,Concept:지역 정치 지형(의석 경쟁) 영향,EFFECT,
CA:a3354:0,MENTION:a3354:ca0,EVIDENCE,
MENTION:a3354:ca0,ART:a3354,DERIVED_FROM,
ART:a3435,SRC:EveningStar,DERIVED_FROM,
Person:Gov. Edwards,MENTION:a3435:Gov. Edwards,SUPPORTED_BY,
Person:Gov. Edwards,ART:a3435,ABOUT,Gov. Edwards of New Jersey an nounced here yesterday his intention
MENTION:a3435:Gov. Edwards,ART:a3435,DERIVED_FROM,
Organization:민주당 전당대회,MENTION:a3435:민주당 전당대회,SUPPORTED_BY,
Organization:민주당 전당대회,ART:a3435,ABOUT,the democratic national i convention at San Francisco
MENTION:a3435:민주당 전당대회,ART:a3435,DERIVED_FROM,
EVENT:a3435:0,ART:a3435,ABOUT,prepared to fight for an anti-prohibition plank j in the party platform
EVENT:a3435:0,MENTION:a3435:event0,SUPPORTED_BY,
MENTION:a3435:event0,ART:a3435,DERIVED_FROM,
CA:a3435:0,Concept:금주법에 대한 정치적 반발,CAUSE,
CA:a3435:0,Concept:정당 강령 내 반금주법 조항 추진,EFFECT,
CA:a3435:0,MENTION:a3435:ca0,EVIDENCE,
MENTION:a3435:ca0,ART:a3435,DERIVED_FROM,
ART:a3667,SRC:EveningStar,DERIVED_FROM,
Person:Ferdinand Appell,MENTION:a3667:Ferdinand Appell,SUPPORTED_BY,
Person:Ferdinand Appell,ART:a3667,ABOUT,Ferdinand Appell and Morris Litvin Are Placed Un der Arrest
MENTION:a3667:Ferdinand Appell,ART:a3667,DERIVED_FROM,
Person:Morris Litvin,MENTION:a3667:Morris Litvin,SUPPORTED_BY,
Person:Morris Litvin,ART:a3667,ABOUT,Ferdinand Appell and Morris Litvin Are Placed Un der Arrest
MENTION:a3667:Morris Litvin,ART:a3667,DERIVED_FROM,
Place:M Street,MENTION:a3667:M Street,SUPPORTED_BY,
Place:M Street,ART:a3667,ABOUT,IT GOODS SEIZED IN M STREET RAIDS
MENTION:a3667:M Street,ART:a3667,DERIVED_FROM,
EVENT:a3667:0,ART:a3667,ABOUT,a vail containing* a larpe quantity of liquor ami a tew bottles of non-alcoholic heveragres yesterday afternoon
EVENT:a3667:0,MENTION:a3667:event0,SUPPORTED_BY,
MENTION:a3667:event0,ART:a3667,DERIVED_FROM,
CA:a3667:0,Concept:금주국 단속(raid) 실시 (헤드라인),CAUSE,
CA:a3667:0,Concept:관련자 체포,EFFECT,
CA:a3667:0,MENTION:a3667:ca0,EVIDENCE,
MENTION:a3667:ca0,ART:a3667,DERIVED_FROM,
CA:a3667:1,Concept:단속 중 다량의 주류 발견,CAUSE,
CA:a3667:1,Concept:압류 조치,EFFECT,
CA:a3667:1,MENTION:a3667:ca1,EVIDENCE,
MENTION:a3667:ca1,ART:a3667,DERIVED_FROM,
